frame_index,cam_0_ts_ms,cam_1_ts_ms,cam_2_ts_ms,cam_3_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,latency_2_ms,latency_3_ms,sync_error_ms
0,1777425361321,1777425360707,1777425361337,1777425361625,1777425362038,717,1331,701,413,918
1,1777425361321,1777425360707,1777425361439,1777425361858,1777425362277,956,1570,838,419,1151
2,1777425361321,1777425360707,1777425361439,1777425361892,1777425362360,1039,1653,921,468,1185
3,1777425361321,1777425360707,1777425361439,1777425361926,1777425362446,1125,1739,1007,520,1219
4,1777425361321,1777425360707,1777425361649,1777425362026,1777425362532,1211,1825,883,506,1319
5,1777425361321,1777425360707,1777425361649,1777425362059,1777425362620,1299,1913,971,561,1352
6,1777425361321,1777425360707,1777425361784,1777425362059,1777425362701,1380,1994,917,642,1352
7,1777425361321,1777425360707,1777425361784,1777425362128,1777425362782,1461,2075,998,654,1421
8,1777425361321,1777425360707,1777425361784,1777425362128,1777425362864,1543,2157,1080,736,1421
9,1777425361321,1777425360707,1777425361784,1777425362128,1777425362945,1624,2238,1161,817,1421
10,1777425361321,1777425360707,1777425361784,1777425362149,1777425363026,1705,2319,1242,877,1442
11,1777425361321,1777425360707,1777425361784,1777425362188,1777425363107,1786,2400,1323,919,1481
12,1777425361321,1777425360707,1777425361784,1777425362188,1777425363189,1868,2482,1405,1001,1481
13,1777425361321,1777425360707,1777425362601,1777425362515,1777425363271,1950,2564,670,756,1894
14,1777425361321,1777425360707,1777425362601,1777425362591,1777425363352,2031,2645,751,761,1894
15,1777425361321,1777425360707,1777425362642,1777425362591,1777425363433,2112,2726,791,842,1935
16,1777425361321,1777425360707,1777425362703,1777425362591,1777425363515,2194,2808,812,924,1996
17,1777425361321,1777425360707,1777425362703,1777425362591,1777425363595,2274,2888,892,1004,1996
18,1777425361321,1777425360707,1777425363137,1777425363226,1777425363676,2355,2969,539,450,2519
19,1777425361321,1777425360707,1777425363137,1777425363348,1777425363758,2437,3051,621,410,2641
20,1777425361321,1777425360707,1777425363205,1777425363423,1777425363839,2518,3132,634,416,2716
21,1777425361321,1777425363066,1777425363230,1777425363492,1777425363920,2599,854,690,428,2171
22,1777425361321,1777425363066,1777425363230,1777425363492,1777425364001,2680,935,771,509,2171
23,1777425361321,1777425363066,1777425363268,1777425363533,1777425364083,2762,1017,815,550,2212
24,1777425361321,1777425363066,1777425363268,1777425363687,1777425364164,2843,1098,896,477,2366
25,1777425361321,1777425363066,1777425363366,1777425363721,1777425364245,2924,1179,879,524,2400
26,1777425361321,1777425363066,1777425363366,1777425363791,1777425364326,3005,1260,960,535,2470
27,1777425361321,1777425363066,1777425363366,1777425363824,1777425364407,3086,1341,1041,583,2503
28,1777425361321,1777425363066,1777425363366,1777425363925,1777425364489,3168,1423,1123,564,2604
29,1777425361321,1777425363066,1777425363966,1777425363925,1777425364570,3249,1504,604,645,2645
30,1777425361321,1777425363066,1777425363966,1777425363925,1777425364651,3330,1585,685,726,2645
31,1777425361321,1777425363066,1777425364033,1777425364326,1777425364732,3411,1666,699,406,3005
32,1777425361321,1777425363066,1777425364101,1777425364393,1777425364812,3491,1746,711,419,3072
33,1777425361321,1777425363066,1777425364132,1777425364490,1777425364894,3573,1828,762,404,3169
34,1777425361321,1777425363066,1777425364168,1777425364524,1777425364975,3654,1909,807,451,3203
35,1777425361321,1777425363066,1777425364168,1777425364625,1777425365057,3736,1991,889,432,3304
36,1777425361321,1777425363066,1777425364168,1777425364726,1777425365138,3817,2072,970,412,3405
37,1777425361321,1777425363066,1777425364168,1777425364814,1777425365219,3898,2153,1051,405,3493
38,1777425361321,1777425363066,1777425364168,1777425364891,1777425365301,3980,2235,1133,410,3570
39,1777425361321,1777425363066,1777425364639,1777425364965,1777425365382,4061,2316,743,417,3644
40,1777425361321,1777425363066,1777425364735,1777425365059,1777425365463,4142,2397,728,404,3738
41,1777425361321,1777425363066,1777425364735,1777425365059,1777425365544,4223,2478,809,485,3738
42,1777425361321,1777425363066,1777425364735,1777425365080,1777425365624,4303,2558,889,544,3759
43,1777425361321,1777425363066,1777425365171,1777425365157,1777425365706,4385,2640,535,549,3850
44,1777425361321,1777425363066,1777425365202,1777425365157,1777425365787,4466,2721,585,630,3881
45,1777425361321,1777425363066,1777425365365,1777425365157,1777425365868,4547,2802,503,711,4044
46,1777425361321,1777425363066,1777425365441,1777425365157,1777425365949,4628,2883,508,792,4120
47,1777425361321,1777425363066,1777425365496,1777425365199,1777425366030,4709,2964,534,831,4175
48,1777425361321,1777425363066,1777425365532,1777425365199,1777425366112,4791,3046,580,913,4211
49,1777425361321,1777425363066,1777425365580,1777425365213,1777425366193,4872,3127,613,980,4259
50,1777425361321,1777425363066,1777425365728,1777425365256,1777425366274,4953,3208,546,1018,4407
51,1777425365602,1777425363066,1777425365797,1777425365281,1777425366355,753,3289,558,1074,2731
52,1777425365602,1777425363066,1777425365797,1777425365358,1777425366435,833,3369,638,1077,2731
53,1777425365602,1777425363066,1777425365797,1777425365358,1777425366515,913,3449,718,1157,2731
54,1777425365602,1777425363066,1777425365797,1777425365358,1777425366596,994,3530,799,1238,2731
55,1777425365602,1777425363066,1777425366069,1777425365358,1777425366676,1074,3610,607,1318,3003
56,1777425365602,1777425363066,1777425366192,1777425365358,1777425366758,1156,3692,566,1400,3126
57,1777425365602,1777425363066,1777425366434,1777425365525,1777425366839,1237,3773,405,1314,3368
58,1777425366204,1777425363066,1777425366434,1777425365553,1777425366921,717,3855,487,1368,3368
59,1777425366204,1777425363066,1777425366434,1777425365553,1777425367001,797,3935,567,1448,3368
60,1777425366517,1777425363066,1777425366434,1777425365553,1777425367082,565,4016,648,1529,3451
61,1777425366517,1777425363066,1777425366434,1777425365553,1777425367162,645,4096,728,1609,3451
62,1777425366534,1777425363066,1777425366508,1777425366424,1777425367244,710,4178,736,820,3468
63,1777425366534,1777425363066,1777425366563,1777425366424,1777425367325,791,4259,762,901,3497
64,1777425366534,1777425363066,1777425366697,1777425366424,1777425367406,872,4340,709,982,3631
65,1777425366534,1777425363066,1777425366697,1777425366624,1777425367486,952,4420,789,862,3631
66,1777425366534,1777425363066,1777425366697,1777425366890,1777425367567,1033,4501,870,677,3824
67,1777425366534,1777425363066,1777425366697,1777425366959,1777425367649,1115,4583,952,690,3893
68,1777425366534,1777425363066,1777425366697,1777425366959,1777425367730,1196,4664,1033,771,3893
69,1777425366534,1777425363066,1777425366697,1777425366959,1777425367810,1276,4744,1113,851,3893
70,1777425366534,1777425363066,1777425367408,1777425366959,1777425367891,1357,4825,483,932,4342
71,1777425366534,1777425363066,1777425367408,1777425366959,1777425367972,1438,4906,564,1013,4342
72,1777425366534,1777425363066,1777425367565,1777425366959,1777425368054,1520,4988,489,1095,4499
73,1777425366534,1777425363066,1777425367565,1777425366959,1777425368136,1602,5070,571,1177,4499
74,1777425366534,1777425363066,1777425367699,1777425366959,1777425368217,1683,5151,518,1258,4633
75,1777425366534,1777425363066,1777425367699,1777425366959,1777425368299,1765,5233,600,1340,4633
76,1777425366534,1777425363066,1777425367929,1777425366959,1777425368381,1847,5315,452,1422,4863
77,1777425366534,1777425363066,1777425367929,1777425366959,1777425368462,1928,5396,533,1503,4863
78,1777425366534,1777425363066,1777425367929,1777425366959,1777425368542,2008,5476,613,1583,4863
79,1777425366534,1777425363066,1777425368198,1777425366959,1777425368623,2089,5557,425,1664,5132
80,1777425366534,1777425363066,1777425368198,1777425366959,1777425368704,2170,5638,506,1745,5132
81,1777425366534,1777425363066,1777425368198,1777425366959,1777425368787,2253,5721,589,1828,5132
82,1777425366534,1777425363066,1777425368433,1777425366959,1777425368869,2335,5803,436,1910,5367
83,1777425366534,1777425363066,1777425368433,1777425366959,1777425368951,2417,5885,518,1992,5367
84,1777425366534,1777425363066,1777425368433,1777425366959,1777425369033,2499,5967,600,2074,5367
85,1777425366534,1777425363066,1777425368699,1777425366959,1777425369115,2581,6049,416,2156,5633
86,1777425366534,1777425363066,1777425368699,1777425366959,1777425369197,2663,6131,498,2238,5633
87,1777425366534,1777425363066,1777425368699,1777425366959,1777425369279,2745,6213,580,2320,5633
88,1777425366534,1777425363066,1777425368931,1777425366959,1777425369361,2827,6295,430,2402,5865
89,1777425366534,1777425363066,1777425368931,1777425366959,1777425369443,2909,6377,512,2484,5865
90,1777425366534,1777425363066,1777425368931,1777425366959,1777425369524,2990,6458,593,2565,5865
91,1777425366534,1777425363066,1777425369199,1777425366959,1777425369606,3072,6540,407,2647,6133
92,1777425366534,1777425363066,1777425369199,1777425366959,1777425369688,3154,6622,489,2729,6133
93,1777425366534,1777425363066,1777425369199,1777425366959,1777425369771,3237,6705,572,2812,6133
94,1777425369426,1777425368046,1777425369367,1777425366959,1777425369852,426,1806,485,2893,2467
95,1777425369426,1777425368046,1777425369438,1777425366959,1777425369933,507,1887,495,2974,2479
96,1777425369491,1777425368046,1777425369507,1777425366959,1777425370013,522,1967,506,3054,2548
97,1777425369524,1777425368046,1777425369568,1777425366959,1777425370095,571,2049,527,3136,2609
98,1777425369524,1777425368046,1777425369724,1777425366959,1777425370175,651,2129,451,3216,2765
99,1777425369524,1777425368046,1777425369799,1777425366959,1777425370255,731,2209,456,3296,2840
100,1777425369850,1777425368046,1777425369899,1777425366959,1777425370336,486,2290,437,3377,2940
101,1777425370001,1777425368046,1777425369965,1777425366959,1777425370417,416,2371,452,3458,3042
102,1777425370001,1777425368046,1777425370027,1777425366959,1777425370497,496,2451,470,3538,3068
103,1777425370139,1777425368046,1777425370138,1777425366959,1777425370576,437,2530,438,3617,3180
104,1777425370156,1777425368046,1777425370198,1777425366959,1777425370656,500,2610,458,3697,3239
105,1777425370251,1777425368046,1777425370266,1777425366959,1777425370735,484,2689,469,3776,3307
106,1777425370291,1777425368046,1777425370400,1777425366959,1777425370815,524,2769,415,3856,3441
107,1777425370369,1777425368046,1777425370432,1777425366959,1777425370895,526,2849,463,3936,3473
108,1777425370369,1777425368046,1777425370498,1777425366959,1777425370976,607,2930,478,4017,3539
109,1777425370523,1777425368046,1777425370594,1777425366959,1777425371057,534,3011,463,4098,3635
110,1777425370565,1777425368046,1777425370695,1777425366959,1777425371138,573,3092,443,4179,3736
111,1777425370565,1777425368046,1777425370733,1777425366959,1777425371218,653,3172,485,4259,3774
112,1777425370565,1777425368046,1777425370797,1777425366959,1777425371299,734,3253,502,4340,3838
113,1777425370565,1777425368046,1777425370929,1777425366959,1777425371379,814,3333,450,4420,3970
114,1777425370815,1777425368046,1777425371032,1777425366959,1777425371461,646,3415,429,4502,4073
115,1777425371028,1777425368046,1777425371032,1777425366959,1777425371542,514,3496,510,4583,4073
116,1777425371132,1777425368046,1777425371095,1777425366959,1777425371622,490,3576,527,4663,4173
117,1777425371157,1777425368046,1777425371196,1777425366959,1777425371703,546,3657,507,4744,4237
118,1777425371172,1777425368046,1777425371231,1777425366959,1777425371784,612,3738,553,4825,4272
119,1777425371272,1777425368046,1777425371291,1777425366959,1777425371865,593,3819,574,4906,4332
120,1777425371272,1777425368046,1777425371392,1777425366959,1777425371945,673,3899,553,4986,4433
121,1777425371294,1777425368046,1777425371461,1777425366959,1777425372026,732,3980,565,5067,4502
122,1777425371294,1777425368046,1777425371699,1777425366959,1777425372107,813,4061,408,5148,4740
123,1777425371294,1777425368046,1777425371699,1777425366959,1777425372188,894,4142,489,5229,4740
124,1777425371294,1777425368046,1777425371832,1777425366959,1777425372270,976,4224,438,5311,4873
125,1777425371294,1777425368046,1777425371932,1777425366959,1777425372352,1058,4306,420,5393,4973
126,1777425371294,1777425368046,1777425372000,1777425366959,1777425372433,1139,4387,433,5474,5041
127,1777425371294,1777425368046,1777425372099,1777425366959,1777425372515,1221,4469,416,5556,5140
128,1777425371294,1777425368046,1777425372195,1777425366959,1777425372596,1302,4550,401,5637,5236
129,1777425371294,1777425368046,1777425372267,1777425366959,1777425372678,1384,4632,411,5719,5308
130,1777425371294,1777425368046,1777425372329,1777425366959,1777425372760,1466,4714,431,5801,5370
131,1777425371294,1777425368046,1777425372432,1777425366959,1777425372842,1548,4796,410,5883,5473
132,1777425371294,1777425368046,1777425372497,1777425366959,1777425372923,1629,4877,426,5964,5538
133,1777425371294,1777425368046,1777425372594,1777425366959,1777425373005,1711,4959,411,6046,5635
134,1777425371294,1777425368046,1777425372666,1777425366959,1777425373087,1793,5041,421,6128,5707
135,1777425371294,1777425368046,1777425372732,1777425366959,1777425373169,1875,5123,437,6210,5773
136,1777425371294,1777425368046,1777425372835,1777425366959,1777425373251,1957,5205,416,6292,5876
137,1777425371294,1777425368046,1777425372932,1777425366959,1777425373333,2039,5287,401,6374,5973
138,1777425371294,1777425368046,1777425372998,1777425366959,1777425373415,2121,5369,417,6456,6039
139,1777425371294,1777425368046,1777425373066,1777425366959,1777425373496,2202,5450,430,6537,6107
140,1777425371294,1777425368046,1777425373127,1777425366959,1777425373578,2284,5532,451,6619,6168
141,1777425371294,1777425368046,1777425373260,1777425366959,1777425373660,2366,5614,400,6701,6301
142,1777425373331,1777425368046,1777425373304,1777425366959,1777425373741,410,5695,437,6782,6372
143,1777425373370,1777425368046,1777425373368,1777425366959,1777425373823,453,5777,455,6864,6411
144,1777425373410,1777425368046,1777425373399,1777425366959,1777425373904,494,5858,505,6945,6451
145,1777425373424,1777425368046,1777425373526,1777425366959,1777425373986,562,5940,460,7027,6567
146,1777425373438,1777425368046,1777425373593,1777425366959,1777425374067,629,6021,474,7108,6634
147,1777425373720,1777425368046,1777425373662,1777425366959,1777425374147,427,6101,485,7188,6761
148,1777425373720,1777425368046,1777425373662,1777425366959,1777425374227,507,6181,565,7268,6761
149,1777425373747,1777425368046,1777425373732,1777425366959,1777425374308,561,6262,576,7349,6788
150,1777425373772,1777425368046,1777425373827,1777425366959,1777425374388,616,6342,561,7429,6868
151,1777425373772,1777425368046,1777425373864,1777425366959,1777425374468,696,6422,604,7509,6905
152,1777425373772,1777425368046,1777425374092,1777425366959,1777425374549,777,6503,457,7590,7133
153,1777425373772,1777425368046,1777425374227,1777425366959,1777425374631,859,6585,404,7672,7268
154,1777425373811,1777425368046,1777425374297,1777425366959,1777425374712,901,6666,415,7753,7338
155,1777425374339,1777425368046,1777425374297,1777425366959,1777425374794,455,6748,497,7835,7380
156,1777425374377,1777425368046,1777425374362,1777425366959,1777425374875,498,6829,513,7916,7418
157,1777425374402,1777425368046,1777425374428,1777425366959,1777425374956,554,6910,528,7997,7469
158,1777425374416,1777425368046,1777425374535,1777425366959,1777425375037,621,6991,502,8078,7576
159,1777425374416,1777425368046,1777425374597,1777425366959,1777425375117,701,7071,520,8158,7638
160,1777425374416,1777425368046,1777425374597,1777425366959,1777425375199,783,7153,602,8240,7638
161,1777425374416,1777425368046,1777425374730,1777425366959,1777425375281,865,7235,551,8322,7771
162,1777425374416,1777425368046,1777425374892,1777425366959,1777425375362,946,7316,470,8403,7933
163,1777425374416,1777425368046,1777425374892,1777425366959,1777425375444,1028,7398,552,8485,7933
164,1777425374416,1777425368046,1777425374892,1777425366959,1777425375526,1110,7480,634,8567,7933
165,1777425374416,1777425368046,1777425374892,1777425366959,1777425375608,1192,7562,716,8649,7933
166,1777425374416,1777425368046,1777425374892,1777425366959,1777425375691,1275,7645,799,8732,7933
167,1777425374416,1777425368046,1777425374892,1777425366959,1777425375773,1357,7727,881,8814,7933
168,1777425374416,1777425368046,1777425374992,1777425366959,1777425375856,1440,7810,864,8897,8033
169,1777425374416,1777425368046,1777425374992,1777425366959,1777425375938,1522,7892,946,8979,8033
170,1777425374416,1777425368046,1777425374992,1777425366959,1777425376018,1602,7972,1026,9059,8033
171,1777425374416,1777425368046,1777425375462,1777425366959,1777425376100,1684,8054,638,9141,8503
172,1777425374416,1777425368046,1777425375521,1777425366959,1777425376182,1766,8136,661,9223,8562
173,1777425374416,1777425375548,1777425375630,1777425366959,1777425376263,1847,715,633,9304,8671
174,1777425374416,1777425375548,1777425375696,1777425366959,1777425376344,1928,796,648,9385,8737
175,1777425374416,1777425375548,1777425375696,1777425366959,1777425376426,2010,878,730,9467,8737
176,1777425374416,1777425375548,1777425375964,1777425366959,1777425376507,2091,959,543,9548,9005
177,1777425375923,1777425375548,1777425376031,1777425366959,1777425376588,665,1040,557,9629,9072
178,1777425375923,1777425375548,1777425376092,1777425366959,1777425376669,746,1121,577,9710,9133
179,1777425375923,1777425375548,1777425376200,1777425366959,1777425376751,828,1203,551,9792,9241
180,1777425375923,1777425375548,1777425376225,1777425366959,1777425376832,909,1284,607,9873,9266
181,1777425375923,1777425375548,1777425376299,1777425366959,1777425376913,990,1365,614,9954,9340
182,1777425375923,1777425375548,1777425376299,1777425366959,1777425376995,1072,1447,696,10036,9340
183,1777425375923,1777425375548,1777425376299,1777425366959,1777425377077,1154,1529,778,10118,9340
184,1777425375923,1777425375548,1777425376299,1777425366959,1777425377159,1236,1611,860,10200,9340
185,1777425375923,1777425375548,1777425376629,1777425366959,1777425377240,1317,1692,611,10281,9670
186,1777425375923,1777425375548,1777425376729,1777425366959,1777425377321,1398,1773,592,10362,9770
187,1777425375923,1777425375548,1777425376809,1777425366959,1777425377402,1479,1854,593,10443,9850
188,1777425375923,1777425375548,1777425376896,1777425366959,1777425377484,1561,1936,588,10525,9937
189,1777425375923,1777425375548,1777425376926,1777425366959,1777425377566,1643,2018,640,10607,9967
190,1777425375923,1777425375548,1777425377127,1777425366959,1777425377648,1725,2100,521,10689,10168
191,1777425375923,1777425375548,1777425377166,1777425366959,1777425377729,1806,2181,563,10770,10207
192,1777425375923,1777425375548,1777425377191,1777425366959,1777425377811,1888,2263,620,10852,10232
193,1777425375923,1777425375548,1777425377399,1777425366959,1777425377893,1970,2345,494,10934,10440
194,1777425375923,1777425375548,1777425377427,1777425366959,1777425377974,2051,2426,547,11015,10468
195,1777425375923,1777425375548,1777425377463,1777425366959,1777425378055,2132,2507,592,11096,10504
196,1777425375923,1777425375548,1777425377463,1777425366959,1777425378136,2213,2588,673,11177,10504
197,1777425375923,1777425375548,1777425377554,1777425366959,1777425378218,2295,2670,664,11259,10595
198,1777425375923,1777425375548,1777425377596,1777425366959,1777425378299,2376,2751,703,11340,10637
199,1777425375923,1777425375548,1777425377668,1777425366959,1777425378380,2457,2832,712,11421,10709
200,1777425375923,1777425375548,1777425377668,1777425366959,1777425378462,2539,2914,794,11503,10709
